component,field,target_class,ngh_class,source_asset,source_path,target_path,source_sha256,target_sha256_before,status_before,status_after,target_sha256_after
HabboCatalogCom,old_layout_info_rentables,HabboCatalogCom_old_layout_info_rentables,class_253,1375_class_253.bin,C:\habbo\client\habbo-client-ngh\binaryData\1375_class_253.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_info_rentables.bin,2c2b8192a6e645fb5623687d071d704b4bea69367a9cfe7b1c82d3810ed00e12,2c2b8192a6e645fb5623687d071d704b4bea69367a9cfe7b1c82d3810ed00e12,identical,identical,2c2b8192a6e645fb5623687d071d704b4bea69367a9cfe7b1c82d3810ed00e12
HabboCatalogCom,old_layout_info_duckets,HabboCatalogCom_old_layout_info_duckets,class_296,495_class_296.bin,C:\habbo\client\habbo-client-ngh\binaryData\495_class_296.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_info_duckets.bin,e5444497d557ba993865b965e5771e6602af47aa2a20d65d5395270b0091b228,cfcc465ecba04a406ab0209e805653399e3947a381284be5ec8e66b2b4bca4c6,different,copied,e5444497d557ba993865b965e5771e6602af47aa2a20d65d5395270b0091b228
HabboCatalogCom,old_layout_info_loyalty,HabboCatalogCom_old_layout_info_loyalty,class_289,1922_class_289.bin,C:\habbo\client\habbo-client-ngh\binaryData\1922_class_289.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_info_loyalty.bin,a15af2659b6d47037e857638f71f7ac3320d99d80919da53b22f11fd3ce579fd,6fe7499919c49113c4a8ad8b317b8aa2d35c1e77ef1be7b8a0ef49ab6cc9c15b,different,copied,a15af2659b6d47037e857638f71f7ac3320d99d80919da53b22f11fd3ce579fd
HabboCatalogCom,old_layout_loyalty_vip_buy,HabboCatalogCom_old_layout_loyalty_vip_buy,class_321,1597_class_321.bin,C:\habbo\client\habbo-client-ngh\binaryData\1597_class_321.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_loyalty_vip_buy.bin,785df2a7fb82b2f57c3049b9c4df85b771a0fa20e9642b787346afb7559f6a85,785df2a7fb82b2f57c3049b9c4df85b771a0fa20e9642b787346afb7559f6a85,identical,identical,785df2a7fb82b2f57c3049b9c4df85b771a0fa20e9642b787346afb7559f6a85
HabboCatalogCom,old_layout_monkey,HabboCatalogCom_old_layout_monkey,class_260,771_class_260.bin,C:\habbo\client\habbo-client-ngh\binaryData\771_class_260.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_monkey.bin,2632a0243ac91ec1da7f0fdea464cdd50df24429c33d1529b38261d117393a27,dfbefc9340bbc043dcb33671062c312e21662af06660cba777d37b03f52d237c,different,copied,2632a0243ac91ec1da7f0fdea464cdd50df24429c33d1529b38261d117393a27
HabboCatalogCom,old_layout_marketplace_own_items,HabboCatalogCom_old_layout_marketplace_own_items,class_338,2212_class_338.bin,C:\habbo\client\habbo-client-ngh\binaryData\2212_class_338.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_marketplace_own_items.bin,42ca388f87ffc64fbec52a113fc3f5a37ca37de62f43687bc667a2eb0a77837f,abfa9dc567d070e34a8c44bfc77060610ff382a5387ae1d331c24a9055e8c731,different,copied,42ca388f87ffc64fbec52a113fc3f5a37ca37de62f43687bc667a2eb0a77837f
HabboCatalogCom,old_layout_marketplace,HabboCatalogCom_old_layout_marketplace,class_343,2325_class_343.bin,C:\habbo\client\habbo-client-ngh\binaryData\2325_class_343.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_marketplace.bin,cb7eac849c29accad07167ee0d4743e24053eab84a811918c5352608baadc5a6,e409b4304575375e4eda66ed048b8412d7fac43235520ead23d1fa484fe900ad,different,copied,cb7eac849c29accad07167ee0d4743e24053eab84a811918c5352608baadc5a6
HabboCatalogCom,old_layout_petcustomization,HabboCatalogCom_old_layout_petcustomization,class_367,1635_class_367.bin,C:\habbo\client\habbo-client-ngh\binaryData\1635_class_367.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_petcustomization.bin,56f37453d270793532f70202ba3df7de9b9d41fcd31399b8c28b6472d3db16d5,56f37453d270793532f70202ba3df7de9b9d41fcd31399b8c28b6472d3db16d5,identical,identical,56f37453d270793532f70202ba3df7de9b9d41fcd31399b8c28b6472d3db16d5
HabboCatalogCom,old_layout_pets2,HabboCatalogCom_old_layout_pets2,HabboCatalogCom_old_layout_pets2,596_HabboCatalogCom_old_layout_pets2.bin,C:\habbo\client\habbo-client-ngh\binaryData\596_HabboCatalogCom_old_layout_pets2.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_pets2.bin,0b38e8dd7f1c35b0715bf63ada0b4a975a46c48dfa072fe8ea774cdf43dd78e7,0b38e8dd7f1c35b0715bf63ada0b4a975a46c48dfa072fe8ea774cdf43dd78e7,identical,identical,0b38e8dd7f1c35b0715bf63ada0b4a975a46c48dfa072fe8ea774cdf43dd78e7
HabboCatalogCom,old_layout_pets3,HabboCatalogCom_old_layout_pets3,HabboCatalogCom_old_layout_pets3,594_HabboCatalogCom_old_layout_pets3.bin,C:\habbo\client\habbo-client-ngh\binaryData\594_HabboCatalogCom_old_layout_pets3.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_old_layout_pets3.bin,58bf4888aa5c513267ae995627df9278d027e45dbafbe07b99cadf36e3d44a83,58bf4888aa5c513267ae995627df9278d027e45dbafbe07b99cadf36e3d44a83,identical,identical,58bf4888aa5c513267ae995627df9278d027e45dbafbe07b99cadf36e3d44a83
